Type,Country,Total,LastUpdated
AA,England,3464,2024-03-27
AA,Scotland,623,2024-03-27
AA,Wales,143,2024-03-27
AA,Northern Ireland,249,2024-03-27
AA,Republic of Ireland,1270,2024-03-27
CA,England,624,2024-03-27
CA,Scotland,140,2024-03-27
CA,Wales,21,2024-03-27
CA,Northern Ireland,0,2024-03-27
CA,Republic of Ireland,0,2024-03-27
NA,England,964,2024-03-27
NA,Scotland,71,2024-03-27
NA,Wales,19,2024-03-27
NA,Northern Ireland,14,2024-03-27
NA,Republic of Ireland,224,2024-03-27
OA,England,62,2024-03-27
OA,Scotland,16,2024-03-27
OA,Wales,6,2024-03-27
OA,Northern Ireland,1,2024-03-27
OA,Republic of Ireland,27,2024-03-27
