Type,Country,Total,LastUpdated
AA,England,3357,2025-05-19
AA,Scotland,590,2025-05-19
AA,Wales,90,2025-05-19
AA,Northern Ireland,314,2025-05-19
AA,Republic of Ireland,1331,2025-05-19
CA,England,634,2025-05-19
CA,Scotland,100,2025-05-19
CA,Wales,22,2025-05-19
CA,Northern Ireland,0,2025-05-19
CA,Republic of Ireland,0,2025-05-19
NA,England,1075,2025-05-19
NA,Scotland,93,2025-05-19
NA,Wales,24,2025-05-19
NA,Northern Ireland,44,2025-05-19
NA,Republic of Ireland,238,2025-05-19
OA,England,57,2025-05-19
OA,Scotland,13,2025-05-19
OA,Wales,4,2025-05-19
OA,Northern Ireland,1,2025-05-19
OA,Republic of Ireland,22,2025-05-19
