Type,Country,Total,LastUpdated
OA,Republic of Ireland,27,2024-01-22
AA,England,3435,2024-02-21
AA,Scotland,618,2024-02-21
AA,Wales,147,2024-02-21
AA,Northern Ireland,305,2024-02-21
AA,Republic of Ireland,1252,2024-02-21
CA,England,607,2024-02-21
CA,Scotland,138,2024-02-21
CA,Wales,20,2024-02-21
CA,Northern Ireland,0,2024-02-21
CA,Republic of Ireland,0,2024-02-21
NA,England,958,2024-02-21
NA,Scotland,65,2024-02-21
NA,Wales,19,2024-02-21
NA,Northern Ireland,35,2024-02-21
NA,Republic of Ireland,217,2024-02-21
OA,England,61,2024-02-21
OA,Scotland,16,2024-02-21
OA,Wales,6,2024-02-21
OA,Northern Ireland,1,2024-02-21
OA,Republic of Ireland,27,2024-02-21
AA,England,3464,2024-03-18
AA,Scotland,623,2024-03-18
AA,Wales,143,2024-03-18
AA,Northern Ireland,249,2024-03-18
AA,Republic of Ireland,1270,2024-03-18
CA,England,624,2024-03-18
CA,Scotland,140,2024-03-18
CA,Wales,21,2024-03-18
CA,Northern Ireland,0,2024-03-18
CA,Republic of Ireland,0,2024-03-18
NA,England,964,2024-03-18
NA,Scotland,71,2024-03-18
NA,Wales,19,2024-03-18
NA,Northern Ireland,14,2024-03-18
NA,Republic of Ireland,224,2024-03-18
OA,England,62,2024-03-18
OA,Scotland,16,2024-03-18
OA,Wales,6,2024-03-18
OA,Northern Ireland,1,2024-03-18
OA,Republic of Ireland,27,2024-03-18
AA,England,3476,2024-04-20
AA,Scotland,633,2024-04-20
AA,Wales,145,2024-04-20
AA,Northern Ireland,168,2024-04-20
AA,Republic of Ireland,868,2024-04-20
CA,England,634,2024-04-20
CA,Scotland,143,2024-04-20
CA,Wales,21,2024-04-20
CA,Northern Ireland,0,2024-04-20
CA,Republic of Ireland,0,2024-04-20
NA,England,970,2024-04-20
NA,Scotland,71,2024-04-20
NA,Wales,18,2024-04-20
NA,Northern Ireland,38,2024-04-20
NA,Republic of Ireland,226,2024-04-20
OA,England,62,2024-04-20
OA,Scotland,16,2024-04-20
OA,Wales,6,2024-04-20
OA,Northern Ireland,1,2024-04-20
OA,Republic of Ireland,27,2024-04-20
