Type,Country,Total,LastUpdated
AA,England,3290,2024-12-17
AA,Scotland,575,2024-12-17
AA,Wales,92,2024-12-17
AA,Northern Ireland,312,2024-12-17
AA,Republic of Ireland,1326,2024-12-17
CA,England,596,2024-12-17
CA,Scotland,96,2024-12-17
CA,Wales,20,2024-12-17
CA,Northern Ireland,0,2024-12-17
CA,Republic of Ireland,0,2024-12-17
NA,England,720,2024-12-17
NA,Scotland,81,2024-12-17
NA,Wales,7,2024-12-17
NA,Northern Ireland,42,2024-12-17
NA,Republic of Ireland,246,2024-12-17
OA,England,61,2024-12-17
OA,Scotland,16,2024-12-17
OA,Wales,4,2024-12-17
OA,Northern Ireland,1,2024-12-17
OA,Republic of Ireland,28,2024-12-17
