Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Code,Region,RegionArea,RegionAreaOrder,RegionIdentifier,RegionIdentifierType,Country,MeetingType,MeetingTypeNamespace,ScrapedDetails
3ae5a25b-f8c9-5a4c-803b-e87e30453011,Livesey By The Book,19:30,"1hr ",24NU,53.7259397,-2.5025357,Livesey Childrens Centre,Andrew Close,,Tuesday,False,False,False,True,Open,,,7521/,Manchester,UK,0,Manchester,City,England,Alcoholics Anonymous,AA,True
8a764839-72d0-57e3-8530-0d90b4faa03a,"Hope, Faith And Courage",18:00,1hr 30mins,GY1,49.464324,-2.5506226,Lions Mind Centre,"Arsenal Rd,Guernsey,Guernsey",,Saturday,False,False,False,False,,"In-person,Big Book,Literature",,hope-faith-and-courage-3,Channel Islands,UK,0,channel-islands,Region,UK,Cocaine Anonymous,CA,True
8ae87a13-d826-5c08-bf3b-4480c6f036fe,Living Clean And Sober,19:00,1hr 15mins,PO33 2HT,50.727825,-1.162869,Veterans Lounge,"162 High St,Ryde",,Tuesday,False,False,False,False,,"In-person,Big Book",,living-clean-and-sober,Isle of Wight,UK,0,isle-of-wight,Region,UK,Cocaine Anonymous,CA,True
