Type,Country,Total,LastUpdated
AA,England,3387,2023-11-19
AA,Scotland,610,2023-11-19
AA,Wales,146,2023-11-19
AA,Northern Ireland,299,2023-11-19
AA,Republic of Ireland,1228,2023-11-19
CA,England,590,2023-11-19
CA,Scotland,134,2023-11-19
CA,Wales,20,2023-11-19
CA,Northern Ireland,1,2023-11-19
CA,Republic of Ireland,57,2023-11-19
NA,England,924,2023-11-19
NA,Scotland,59,2023-11-19
NA,Wales,20,2023-11-19
NA,Northern Ireland,34,2023-11-19
NA,Republic of Ireland,220,2023-11-19
OA,England,64,2023-11-19
OA,Scotland,16,2023-11-19
OA,Wales,6,2023-11-19
OA,Northern Ireland,2,2023-11-19
OA,Republic of Ireland,26,2023-11-19
