Type,Country,Total,LastUpdated
AA,England,3346,2023-10-02
AA,Scotland,606,2023-10-02
AA,Wales,144,2023-10-02
AA,Northern Ireland,297,2023-10-02
AA,Republic of Ireland,1217,2023-10-02
CA,England,570,2023-10-02
CA,Scotland,128,2023-10-02
CA,Wales,20,2023-10-02
CA,Northern Ireland,1,2023-10-02
CA,Republic of Ireland,52,2023-10-02
NA,England,901,2023-10-02
NA,Scotland,51,2023-10-02
NA,Wales,19,2023-10-02
NA,Northern Ireland,33,2023-10-02
NA,Republic of Ireland,211,2023-10-02
OA,England,62,2023-10-02
OA,Scotland,17,2023-10-02
OA,Wales,6,2023-10-02
OA,Northern Ireland,2,2023-10-02
OA,Republic of Ireland,26,2023-10-02
