Type,Country,Total,LastUpdated
AA,England,3404,2024-01-03
AA,Scotland,609,2024-01-03
AA,Wales,146,2024-01-03
AA,Northern Ireland,302,2024-01-03
AA,Republic of Ireland,1233,2024-01-03
CA,England,596,2024-01-03
CA,Scotland,130,2024-01-03
CA,Wales,19,2024-01-03
CA,Northern Ireland,0,2024-01-03
CA,Republic of Ireland,0,2024-01-03
NA,England,936,2024-01-03
NA,Scotland,61,2024-01-03
NA,Wales,20,2024-01-03
NA,Northern Ireland,34,2024-01-03
NA,Republic of Ireland,224,2024-01-03
OA,England,60,2024-01-03
OA,Scotland,15,2024-01-03
OA,Wales,5,2024-01-03
OA,Northern Ireland,1,2024-01-03
OA,Republic of Ireland,26,2024-01-03
