Type,Country,Total,LastUpdated
AA,England,3267,2023-07-16
AA,Scotland,586,2023-07-16
AA,Wales,141,2023-07-16
AA,Northern Ireland,290,2023-07-16
AA,Republic of Ireland,1179,2023-07-16
CA,England,571,2023-07-16
CA,Scotland,154,2023-07-16
CA,Wales,19,2023-07-16
CA,Northern Ireland,1,2023-07-16
CA,Republic of Ireland,54,2023-07-16
NA,England,888,2023-07-16
NA,Scotland,52,2023-07-16
NA,Wales,17,2023-07-16
NA,Northern Ireland,34,2023-07-16
NA,Republic of Ireland,208,2023-07-16
OA,England,62,2023-07-16
OA,Scotland,16,2023-07-16
OA,Wales,6,2023-07-16
OA,Northern Ireland,2,2023-07-16
OA,Republic of Ireland,27,2023-07-16
