Name,Area,Country,Latitude,Longitude,Zoom,Boundary
Ayrshire and South West Scotland,South West Scotland,Scotland,55.17180215,-4.196777344,9,"[-4.054823,54.83547],[-3.262271,54.98691],[-3.355952,55.12276],[-4.264801,55.456002],[-4.642543,55.559185],[-4.663273,55.543499],[-4.855534,55.241042],[-5.025229,54.904834],[-4.054823,54.83547]"
Dumbarton,South West Scotland,Scotland,55.97660839,-4.650768,12,"[-4.56706,55.947569],[-4.586169,55.988845],[-4.734476,56.005626],[-4.56706,55.947569]"
Inverclyde,South West Scotland,Scotland,55.89485688,-4.8729975,11,"[-5.052941,55.836127],[-4.693054,55.934623],[-4.765032,55.952802],[-4.772118,55.953541],[-4.930402,55.950396],[-5.052941,55.836127]"
North and East Ayrshire,South West Scotland,Scotland,55.69171231,-4.622497559,11,"[-4.604343,55.594951],[-4.482586,55.5971],[-4.323335,55.607205],[-4.28148,55.609879],[-4.633226,55.752686],[-4.870468,55.793816],[-4.811222,55.643379],[-4.794073,55.637586],[-4.604343,55.594951]"
Paisley and District,South West Scotland,Scotland,55.85730245,-4.477272034,12,"[-4.389542,55.799291],[-4.392578,55.878397],[-4.465213,55.908367],[-4.576268,55.85515],[-4.520248,55.832993],[-4.389542,55.799291]"
Clydebank and District,Glasgow,Scotland,55.91625672,-4.4437705,13,"[-4.405902,55.90173],[-4.13964,55.940298],[-4.416737,55.924152],[-4.405902,55.90173]"
Glasgow East,Glasgow,Scotland,55.84135114,-4.171199799,13,"[-4.199778,55.807427],[-4.1402102,55.810632],[-4.109928,55.852149],[-4.191026,55.868338],[-4.213168,55.862481],[-4.213344,55.829373],[-4.199778,55.807427]"
Glasgow North West,Glasgow,Scotland,55.89037002,-4.3166595,13,"[-4.264523,55.838202],[-4.245511,55.846415],[-4.220229,55.87087],[-4.228427,55.911273],[-4.313759,55.942343],[-4.42515,55.910475],[-4.378099,55.888666],[-4.264523,55.838202]"
Glasgow South,Glasgow,Scotland,55.84226544,-4.293079376,13,"[-4.281438,55.788592],[-4.231694,55.805131],[-4.244141,55.855337],[-4.332714,55.897767],[-4.361516,55.847639],[-4.351351,55.818732],[-4.348569,55.817347],[-4.29789,55.795206],[-4.281438,55.788592]"
Monklands,Glasgow,Scotland,55.86283778,-4.008464813,13,"[-3.944064,55.840647],[-3.965157,55.861014],[-3.975462,55.870837],[-3.997072,55.885155],[-4.078071,55.856264],[-4.039818,55.844426],[-3.944064,55.840647]"
Antrim,Northern Ireland,Northern Ireland,54.77392676,-6.081619263,11,"[-6.04948,54.510741],[-5.885764,54.517971],[-5.710187,54.752392],[-5.813474,54.85317],[-6.064754,55.080391],[-6.255014,55.1995653],[-6.648597,55.202968],[-6.460101,54.75165],[-6.04948,54.510741]"
Armagh,Northern Ireland,Northern Ireland,54.36096407,-6.469573975,10,"[-6.5995805,54.0814182],[-6.338506,54.174585],[-6.170899,54.512739],[-6.572161,54.510463],[-6.838692,54.353259],[-6.5995805,54.0814182]"
Derry,Northern Ireland,Northern Ireland,54.99644635,-7.320971489,14,"[-6.609067,54.754376],[-6.605501,54.755979],[-6.5654959,54.9533729],[-6.677468,55.129938],[-6.713361,55.186251],[-7.316944,55.031147],[-7.34452,54.996329],[-6.781544,54.795579],[-6.609067,54.754376]"
Fermanagh,Northern Ireland,Northern Ireland,54.29318949,-7.4074095,12,"[-7.17256,54.239472],[-7.639624,54.47205],[-8.089211,54.4793247],[-7.442695,54.252308],[-7.17256,54.239472]"
Tyrone,Northern Ireland,Northern Ireland,54.6178089,-7.073822021,10,"[-6.976073,54.414291],[-6.697967,54.414748],[-6.603959,54.558216],[-6.75702,54.646643],[-7.460626,54.825149],[-7.591065,54.713076],[-7.458754,54.513372],[-6.976073,54.414291]"
Cork,Republic of Ireland,Republic of Ireland,51.89041846,-8.467025757,13,"[-9.546399,51.5250752],[-9.2694418,51.5495554],[-9.0326761,51.5769523],[-8.5272426,51.7062302],[-7.8458696,51.94609],[-8.6834477,52.3564322],[-9.1879469,52.2106045],[-9.9006921,51.6518687],[-9.546399,51.5250752]"
Donegal,Republic of Ireland,Republic of Ireland,54.86475329,-7.852478027,9,"[-8.2790279,54.4751815],[-7.8320339,54.54943],[-7.4900501,54.8342096],[-7.2567606,55.250877],[-7.9712811,55.1814693],[-8.2884522,55.0773783],[-8.6327484,54.6577244],[-8.2790279,54.4751815]"
Dublin,Republic of Ireland,Republic of Ireland,53.36628319,-6.275939941,11,"[-6.1195863,53.2195906],[-6.104721,53.3897196],[-6.0965632,53.5229205],[-6.1064587,53.5798933],[-6.1789662,53.6073748],[-6.3838382,53.565334],[-6.5014007,53.2994661],[-6.468021,53.2825255],[-6.1195863,53.2195906]"
Galway,Republic of Ireland,Republic of Ireland,53.31076155,-8.871459961,10,"[-9.6637949,53.1052788],[-8.9404631,53.1396642],[-8.5689437,53.1970496],[-8.5659046,53.1977806],[-8.2363778,53.3252373],[-8.5670781,53.5999433],[-9.9473815,53.5529085],[-9.8112662,53.3212325],[-9.6637949,53.1052788]"
Kerry,Republic of Ireland,Republic of Ireland,52.24880671,-9.060974121,9,"[-10.1735945,51.8286893],[-9.5835202,51.8801017],[-9.4880047,52.0596375],[-9.3697475,52.4629023],[-9.3738407,52.5693486],[-9.6753927,52.5172099],[-10.2749786,52.1447166],[-10.2642501,51.8336219],[-10.1735945,51.8286893]"
Wicklow,Republic of Ireland,Republic of Ireland,53.00067894,-6.2897037,10,"[-6.4568256,52.7970301],[-6.1663672,52.7975257],[-6.0451453,52.9794746],[-6.0623654,53.1464318],[-6.1068136,53.2033717],[-6.1166463,53.2090239],[-6.5342621,53.1688545],[-6.4568256,52.7970301]"
