Type,Country,Total,LastUpdated
AA,England,3296,2024-06-29
AA,Scotland,520,2024-06-29
AA,Wales,61,2024-06-29
AA,Northern Ireland,310,2024-06-29
AA,Republic of Ireland,1270,2024-06-29
CA,England,644,2024-06-29
CA,Scotland,91,2024-06-29
CA,Wales,21,2024-06-29
CA,Northern Ireland,0,2024-06-29
CA,Republic of Ireland,0,2024-06-29
NA,England,1005,2024-06-29
NA,Scotland,81,2024-06-29
NA,Wales,21,2024-06-29
NA,Northern Ireland,40,2024-06-29
NA,Republic of Ireland,223,2024-06-29
OA,England,61,2024-06-29
OA,Scotland,16,2024-06-29
OA,Wales,5,2024-06-29
OA,Northern Ireland,1,2024-06-29
OA,Republic of Ireland,28,2024-06-29
