Type,Country,Total,LastUpdated
AA,England,3307,2025-01-21
AA,Scotland,580,2025-01-21
AA,Wales,94,2025-01-21
AA,Northern Ireland,313,2025-01-21
AA,Republic of Ireland,1271,2025-01-21
CA,England,573,2025-01-21
CA,Scotland,41,2025-01-21
CA,Wales,21,2025-01-21
CA,Northern Ireland,0,2025-01-21
CA,Republic of Ireland,0,2025-01-21
NA,England,1058,2025-01-21
NA,Scotland,88,2025-01-21
NA,Wales,23,2025-01-21
NA,Northern Ireland,44,2025-01-21
NA,Republic of Ireland,229,2025-01-21
OA,England,60,2025-01-21
OA,Scotland,15,2025-01-21
OA,Wales,4,2025-01-21
OA,Northern Ireland,1,2025-01-21
OA,Republic of Ireland,27,2025-01-21
